REGION,week,p2.5,p25,p50,p75,p97.5,mean,p.positive
Texas,2020-02-16,-0.040360873453656,0.007109633992460319,0.024125355001041147,0.03565201291902014,0.04980979695830097,0.018868831026764055,0.819
Utah,2020-02-16,-0.0310167254006125,0.012635091923137505,0.02562668182464034,0.033772234615290886,0.04191001706450946,0.02026323007018007,0.87375
Vermont,2020-02-16,-0.03881561328887236,-0.0014493567981018283,0.00895366253576683,0.015857527492572538,0.022860672812633723,0.004681268989938907,0.72325
Virginia,2020-02-16,-0.00668092878463561,0.020606363638789822,0.02963960883279365,0.03620967217156517,0.045029524911175664,0.02696342257502578,0.957
Washington,2020-02-16,7.485419945736103e-4,0.01563543622631907,0.020287330296250974,0.02375971301105811,0.028358104886503338,0.018888694789972797,0.9775
West Virginia,2020-02-16,-0.028680690566393996,0.008617512501294888,0.018459918466753964,0.025413539371931373,0.03296897821051844,0.01462859897622863,0.8645
Wisconsin,2020-02-16,-0.015938533090941766,0.007081765735038323,0.014224224508832786,0.01934964656285218,0.024769088335962856,0.011630233379820082,0.87525
Wyoming,2020-02-16,-0.010555014613141905,0.010775213797859964,0.017160837480971088,0.021458245416960085,0.026445616377346885,0.014837199978751207,0.92675
Alabama,2020-02-23,-0.06972724919365529,-0.007638630157506154,0.012334283571599408,0.025983041347959084,0.04047536376600663,0.005233595865479979,0.6745
Alaska,2020-02-23,-0.009899963030467855,0.0225928242453143,0.029946191252402582,0.034277567357123215,0.03812722176242823,0.02626305432657603,0.95625
Arizona,2020-02-23,-0.038591050749413276,-0.007731604211805117,0.001372486283108449,0.00791287160924642,0.014845716061485416,-0.0017959015793986514,0.5455
Arkansas,2020-02-23,-0.026208727666334766,0.017412639148755626,0.0321289145867594,0.041966925225100454,0.05257294175701213,0.0269550196359132,0.89825
California,2020-02-23,-0.028607757965366465,-0.0029763319858699625,0.005502322300407904,0.011992404378270797,0.020747519233079246,0.0031040681668699226,0.67375
