REGION,date,p2.5,p25,p50,p75,p97.5,p.positive,week,State,CDC_week,NewCasesWeek
Texas,2020-02-09,-1.3219030943705438e-5,6.8833154674239e-5,2.292841508012059e-5,1.4883442753214992e-5,1.0620335775258372e-5,0.8275,30,Texas,7,1
Texas,2020-02-16,-2.6649723055652395e-5,1.5413847019051866e-4,4.486737657486073e-5,3.0299107449103196e-5,2.16416515986904e-5,0.8195,31,Texas,8,2
Texas,2020-02-23,-9.43787560929813e-5,6.894953025879217e-4,1.8313595846615322e-4,1.1863638408763883e-4,8.343075978333113e-5,0.8135,32,Texas,9,7
Texas,2020-03-01,-1.8055472212555955e-4,2.6733970605755477e-4,1.4647542506630957e-4,1.0933967081540228e-4,8.452362390137886e-5,0.90325,33,Texas,10,8
Texas,2020-03-08,-0.0011765144229854026,0.0016771938316706946,9.577858573730373e-4,7.169764808173328e-4,5.515006716452253e-4,0.90275,34,Texas,11,50
Texas,2020-03-15,0.14687664576702422,0.006636662004148345,0.005180959424004571,0.004413961318254819,0.003764463282576883,0.9775,35,Texas,12,478
Texas,2020-03-22,-0.43924196090161005,0.028485606012802218,0.02140122644165923,0.017987945011939756,0.015003314892297455,0.9705,36,Texas,13,1614
Utah,2020-03-01,-4.607277056901056e-4,7.98026338871818e-4,4.463875529198605e-4,3.530108797731811e-4,2.911548530078533e-4,0.8955,33,Utah,10,2
Utah,2020-03-08,-0.006799168523460962,0.004447810770407684,0.0031026715155173185,0.0025902203215208038,0.0022391624424439364,0.94375,34,Utah,11,18
Utah,2020-03-15,-0.3297697690558827,0.020602635675607547,0.016139934579067036,0.014206639624598852,0.012664510013811426,0.97225,35,Utah,12,117
Vermont,2020-03-08,-0.002332955731649855,0.009159079781794751,0.003907200023797,0.0028603780098077802,0.0022330844609575753,0.85175,34,Vermont,11,4
Vermont,2020-03-15,-0.05229326373554048,0.038748865936508815,0.02644584139779834,0.021785315797679932,0.01837512040350868,0.93825,35,Vermont,12,44
Vermont,2020-03-22,-0.6026167564309347,0.1068580596544326,0.08046388659334482,0.06890597562311816,0.060046024454150866,0.96475,36,Vermont,13,162
Virginia,2020-03-08,0.005304586249256106,0.0017578688947440919,0.0014309932047708127,0.001252431321642578,0.0010939482566251523,0.99075,34,Virginia,11,41
Virginia,2020-03-15,0.009889418087400762,0.004318997285262777,0.00366105483507973,0.003265422103249456,0.002878201896945089,0.99475,35,Virginia,12,110
Virginia,2020-03-22,-2.229344085961886,0.04375145987377623,0.03287388063167223,0.027769886364575117,0.023075537984965505,0.97425,36,Virginia,13,588
